root - DEBUG - Started processing the files inside directory : C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test
root - DEBUG - Timestamp for Starting process :: 2023-02-01 23:30:36.711227
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850209', '-44', '-139', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850210', '-22', '-50', '25']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850211', '-22', '-50', '30']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850212', '-39', '-117', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850213', '-28', '-150', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850214', '-56', '-150', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850215', '-89', '-194', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850216', '39', '-117', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850217', '56', '-39', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850218', '61', '-17', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850219', '22', '-89', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850220', '78', '-56', '0']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850221', '72', '33', '23']
root - ERROR - Unique Key Constraint Failed :: C:\Users\chand\Downloads\code-challenge-template-main\wx_data_test\USC00110072.txt -- ['19850222', '83', '56', '0']
